,x,y,xl,yl,id,xl2,yl2,id2
0,0.0,0.0,1.683261307447631,0.025110869154444805,16,,,
1,-0.43223,0.09679,1.5984521902136606,-0.4537620553490377,16,,,
2,-0.43582,0.09882,1.5550167103405144,-0.5578516699086079,16,,,
3,-1.23554,-0.01047,0.19064080240220016,-0.8351216206007335,15,,,
4,-1.25789,-0.05151,-0.43951778350443543,-1.4272848163737177,15,,,
5,-1.26455,-0.07331,-1.0445267993728864,-1.6144262846734834,15,,,
6,-1.26485,-0.07464,-1.2294955215042465,-1.6049841878382436,15,,,
7,-1.26414,-0.08558,-0.9734681051256655,-1.5137079394123496,15,,,
8,-1.25035,-0.05732,-0.5244582979224802,-1.360949166348698,15,,,
9,-1.23328,-0.03126,-0.19214563844271837,-1.1347746338788225,15,,,
10,-1.20809,-0.00339,0.14923017591608562,-0.7446606461550507,15,,,
11,-1.18451,0.01556,0.35582598602666715,-0.3018793842157197,15,,,
12,-1.15323,0.03251,0.3982000028594011,-0.4674986661525766,15,,,
13,-1.15458,0.03133,0.3101394392737784,-0.6354754114308825,15,,,
14,-1.15554,0.03003,-0.016567970375447272,-1.1398629629384587,15,,,
15,-1.15598,0.02902,-0.7097016754699188,-1.5436062153018508,15,,,
16,-1.15608,0.0286,-1.0979981992786982,-1.6026551636163395,15,,,
17,-1.14905,0.0573,-1.226922130210677,-1.6000127396591302,15,,,
18,-1.1486,0.05982,-1.3403617607481488,-1.5916391953526343,15,,,
19,-1.17931,-0.11763,-1.1198022759576516,-1.615775357827237,15,,,
20,-1.16777,-0.08374,-0.8882686862963771,-1.5598973462331,15,,,
21,-1.13509,-0.03015,-0.26250390705938237,-1.2926598150139776,15,,,
22,-1.09425,0.00663,0.39307944779754334,-0.5470644465264711,15,,,
23,-1.07838,0.01648,0.5340047165254664,-0.09970791208680763,15,,,
24,-4.62456,0.57585,-1.4831290105349006,-0.9579855797895448,14,,,
25,-4.71312,0.5205,-1.6478470888951529,-1.038405067329892,14,,,
26,-5.25019,0.17901,-2.7754925419862384,-1.0835629026476952,14,,,
27,-5.3009,0.14622,-2.8928522969857045,-1.093939941300948,14,,,
28,-5.3767,0.09663,-3.026473772771525,-1.1301042576725462,14,,,
29,-5.43914,0.05638,-3.0975089310073614,-1.0116693168989868,14,,,
30,-5.45828,0.04563,-3.0239351854495826,-0.6591287234447634,14,,,
31,-5.53383,0.00706,-3.1680921552380097,-0.6373714036116591,14,,,
32,-5.63146,-0.04329,-3.333251152041945,-0.6645464553123852,14,,,
33,-5.6937,-0.07566,-3.4930856637159238,-0.6706866039774986,14,,,
34,-5.81517,-0.13934,-3.692481714852486,-0.7017064067114096,14,,,
35,-5.88008,-0.17351,-3.811806171555058,-0.7133611008321664,14,,,
36,-5.9327,-0.20126,-3.9374110680114147,-0.705156197528672,14,,,
37,-6.03389,-0.24894,-4.079650437221524,-0.3644021638087096,14,,,
38,-6.08768,-0.26282,-4.284397339466596,0.2724113742855232,14,,,
39,-6.5264,-0.25678,-1.5211201366745521,-3.4227147763794497,24,,,
40,-6.54253,-0.25901,-1.6914210141496442,-3.3876019021025927,24,,,
41,-6.73144,-0.287,-2.181608063752075,-3.4789558211069376,24,,,
42,-6.85159,-0.30588,-2.244648139944391,-3.6962764980614535,24,,,
43,-7.09577,-0.34665,-2.7949869718987013,-3.7977347038570093,24,,,
44,-8.39713,-0.93303,-3.804389515682669,-2.0642397279959193,24,,,
45,-8.48184,-0.91936,-3.9482260841471963,-2.017298305910587,24,,,
46,-8.64121,-0.89249,-4.323365468691741,-1.9378000251367409,24,,,
47,-8.72467,-0.87805,-4.464386090205308,-1.9274376151091444,24,,,
48,-8.86627,-0.8532,-4.695496386704225,-1.910162295749334,24,,,
49,-8.9425,-0.83958,-4.882654568013576,-1.8819777832281501,24,,,
50,-9.01849,-0.82575,-5.037382591427016,-1.8464671311902725,24,,,
51,-9.08647,-0.8132,-5.166481817644638,-1.8375234845957125,24,,,
52,-9.15447,-0.80053,-5.289217048647254,-1.8139645325470657,24,,,
53,-9.23001,-0.78472,-5.398497165863509,-1.5984401596663025,24,,,
54,-9.29528,-0.76445,-5.376859744330889,-0.7874692867399119,24,,,
55,-9.48531,-0.58651,-8.051005099535121,2.7563513794326613,24,,,
56,-9.51076,-0.55192,-8.230838417811983,2.7743245262561986,24,,,
57,-9.55243,-0.49442,-8.364351266860455,2.805293935155824,24,,,
58,-9.61563,-0.40619,-8.51268287639449,2.8514391670830688,24,,,
59,-9.64015,-0.37161,-8.622568139564214,2.791714414680234,24,,,
60,-9.68926,-0.3012,-8.78254085159508,2.782733056296108,24,,,
61,-9.73754,-0.23094,-8.899240703598398,2.8251205423735604,24,,,
62,-9.78574,-0.16011,-9.015542876715674,2.825992404185856,24,,,
63,-9.83398,-0.08843,-9.157757274004611,2.8337145179264094,24,,,
64,-9.85721,-0.05292,-9.296311018403303,2.871610282514406,24,,,
65,-9.87913,-0.01709,-9.521361252068397,2.917179076244279,24,,,
66,-9.89787,0.01733,-9.861060840972518,2.9474928031581604,24,,,
67,-10.03993,0.46328,-9.579867641945865,2.9979885881421695,24,,,
68,-10.16154,0.62277,-9.697475414533375,2.9903829684802137,24,,,
69,-10.21331,0.69125,-9.800666786424292,3.0225952018716393,24,,,
70,-10.67993,1.94187,-11.887932633077758,5.047919144890854,25,,,
71,-10.73278,2.62797,-7.462686159398833,7.995310661273728,27,,,
72,-10.87741,3.65741,-10.536311959332048,5.5183886043510775,25,,,
73,-10.90176,3.68997,-10.134492772800533,5.383678369042806,25,,,
74,-10.92184,3.71057,-9.821105019466556,5.18272287148789,25,,,
75,-10.95036,3.73351,-9.529053170763778,4.809041407289659,25,,,
76,-10.97112,3.74647,-9.377716627093111,4.530635636207651,25,,,
77,-11.00583,3.76318,-9.333570277172194,4.226052956984822,25,,,
78,-11.05321,3.78287,-9.368800026659994,4.060634238721829,25,,,
79,-11.11484,3.80805,-9.491072354929123,4.062965850470277,25,,,
80,-11.17447,3.83839,-9.677843740407617,4.368056289939725,25,,,
81,-11.22079,3.87352,-10.02686947920103,4.831486162092961,25,,,
82,-11.2603,3.9164,-10.43895172495924,5.161786701425533,25,,,
83,-11.29155,3.96558,-11.000217001990976,5.348577908773211,25,,,
84,-11.31705,4.02805,-11.532268775211065,5.367277982009281,25,,,
85,-11.31948,4.17742,-7.993813193162973,8.245633349174598,27,,,
86,-11.31419,4.1975,-8.227559921467009,8.490401894417738,27,,,
87,-11.30772,4.22058,-8.344474333702133,8.52398677506402,27,,,
88,-11.19686,4.60207,-8.227276429486256,8.539681908280812,27,,,
89,-11.11476,4.79045,-8.235807014463214,8.641321960928956,27,,,
90,-11.07886,4.86617,-8.314892726032078,8.536184562155622,27,,,
91,-10.94208,5.14877,-8.221968492731582,8.665739089333304,27,,,
92,-10.87663,5.29896,-8.325993243911046,8.593752806807132,27,,,
93,-10.85549,5.35548,-8.332304577387955,8.722764368763363,27,,,
94,-10.83816,5.41272,-8.63556655820291,8.942873796954524,27,,,
95,-10.82774,5.47659,-8.765716868236368,9.007502362629763,27,,,
96,-10.83154,5.55894,-11.771930779540765,8.294121469876305,26,,,
97,-10.83606,5.58728,-11.532635711872267,8.360125982331086,26,,,
98,-10.96702,6.30404,-11.599054572700506,8.467172551997516,26,,,
99,-10.92423,6.81304,-8.109401567767874,8.58872547409096,27,,,
100,-10.87886,6.89484,-8.698085888409667,9.266244083874655,27,,,
101,-8.58577,7.20611,-8.419617860714272,8.745214392694264,27,,,
102,-8.56984,7.23992,-8.285094861890103,8.728544787151812,27,,,
103,-8.54135,7.33851,-8.167909555558902,8.667243774597319,27,,,
104,-8.50773,7.49338,-7.954513577945172,8.643242996216877,27,,,
105,-4.68732,7.2121,-2.071345194452402,8.73097562665289,28,,,
106,-4.41435,7.28825,-1.994012691684902,8.537649445084728,28,,,
107,-4.34969,7.29195,-2.0508663426312133,8.659406463958394,28,,,
108,-3.79238,7.34617,1.3634791254124627,8.06661779179412,29,,,
109,-3.44211,7.38147,1.4745333398943883,8.078611483826743,29,,,
110,-1.97189,7.55202,1.569273523929136,7.931707177678921,29,,,
111,-1.89616,7.55197,1.5855663339094914,7.462795695061995,29,,,
112,-1.83113,7.53688,1.5717325662570676,7.289021475098469,29,,,
113,-1.47887,5.99209,1.6656524222266995,4.422255586498522,17,,,
114,-1.44318,5.95888,1.3858014071268074,4.029284442213128,17,,,
115,-1.4192,5.94005,1.137551008867488,3.735437694342817,17,,,
116,-1.2924,5.84074,1.038051782388701,3.533752449001658,17,,,
117,-1.21431,5.77057,1.105516039537286,3.668492404385426,17,,,
118,-0.98369,5.55885,1.0372112994797582,3.483582786901642,17,,,
119,-0.94197,5.51015,0.86956313943364,3.363860580948203,17,,,
120,-0.90756,5.44513,0.5891321799203592,3.1676059522970466,17,,,
121,-0.84261,4.88875,-1.813699564743545,-1.1671606228416376,15,,,
122,-0.81367,4.76781,-1.588772906628146,-0.9965479185054603,15,,,
123,-0.80473,4.7413,-1.7900622394502177,-1.1500931184313288,15,,,
124,-0.79223,4.70488,-1.9257499575556414,-1.45926849405196,15,,,
125,-0.52533,3.62207,1.2834767515041197,-1.4443562807538326,15,,,
126,-0.5426,3.56746,1.032077993365454,-1.2439328970112746,15,,,
127,-0.56056,3.431,-1.4014621375339646,-1.3906874267408516,15,,,
128,-0.59487,2.67859,-0.851059063777954,-1.7832944615924982,15,,,
129,-0.55174,2.5027,1.5624305738595239,-0.298799029310289,16,,,
130,-0.52566,2.40683,1.3538791360656712,-0.43941483326672187,16,,,
131,-0.49217,2.13778,1.5266185132548198,-0.3479939327522114,16,,,
132,-0.56567,1.95468,1.077476487583071,-1.3771147710570975,15,,,
133,-0.59732,1.8611,0.2396106880618139,-1.7636073875666678,15,,,
134,-0.60576,1.77066,-1.3481614633481918,-1.8000691543490757,15,,,
135,-0.60537,1.7009,-1.833227996944224,-1.7086405343741138,15,,,
136,-0.6039,1.64749,-1.972053277212792,-1.6403977463581227,15,,,
137,-0.58781,1.14096,-1.726750796482576,-1.8044553131787098,15,,,
138,-0.4967,0.59334,-0.25793592542307453,-2.159917450092785,15,,,
139,-0.53533,0.51872,0.392025143900991,-1.9989639499787049,15,,,
140,-0.62704,0.35372,0.23701856692165554,-1.994795553158909,15,,,
141,-0.66033,0.25775,-0.6705575419605777,-2.1579695757342043,15,,,
142,-0.66094,0.15821,-1.3404598736007434,-2.039419654669237,15,,,
143,-0.35037,-0.22259,1.5795081036361773,-0.12441851938759574,16,,,
144,-0.27822,-0.24012,1.6073855383338655,-0.2682457925160121,16,,,
145,-0.13818,-0.26761,1.6024478205410755,-0.15687817910634,16,,,
146,-0.07031,-0.26706,1.5836507665865762,0.08918104057834901,16,,,
147,0.0467,-0.22969,1.5922626785194522,-0.06531634588299695,16,,,
148,0.07437,-0.21618,1.56482229605747,-0.17181299900809432,16,,,
149,0.05342,-0.22624,1.5275135381503449,-0.34940822391915166,16,,,
150,0.0076,-0.24061,1.4919588232979173,-0.48358002757052726,16,,,
151,-0.04681,-0.2449,1.450757373031848,-0.6357999648637613,16,,,
152,-0.06532,-0.2536,1.5314078097778556,-0.34256928055240177,16,,,
153,-0.0694,-0.26344,1.5566179851756874,-0.2340789580362323,16,,,
154,-0.07491,-0.26265,1.5316247884828496,-0.35302496995498933,16,,,
